country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
French Guiana,GF,GUF,254,Urban,11,Dry latrines - Bucket latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,12,Dry latrines - Other,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,13,Composting toilets,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,14,Other improved,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,15,"No facility, bush, field",0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,16,Other unimproved,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Urban,17,DK/missing information,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,2,Flush and pour flush - to septic tank,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,3,Flush and pour flush - to pit,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,8,Dry latrines - Traditional latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,11,Dry latrines - Bucket latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,12,Dry latrines - Other,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,13,Composting toilets,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,14,Other improved,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,15,"No facility, bush, field",0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,16,Other unimproved,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,Rural,17,DK/missing information,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,1,Flush and pour flush - to piped sewer system,0.382,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,2,Flush and pour flush - to septic tank,0.429,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,3,Flush and pour flush - to pit,0.039,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,8,Dry latrines - Traditional latrine,0.15,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2009 - CEN09
French Guiana,GF,GUF,254,National,11,Dry latrines - Bucket latrine,0.0,CENSUS 2009 - CEN09
