"Country or Area Code","Country or Area","Year","Value","Value Footnotes","Unit"
"100","Bulgaria","2013","81.7399978637695","","%"
"100","Bulgaria","2012","81.7399978637695","","%"
"100","Bulgaria","2011","81.7099990844727","","%"
"100","Bulgaria","2010","77.129997253418","","%"
"100","Bulgaria","2009","74.9000015258789","","%"
"100","Bulgaria","2008","74","","%"
"100","Bulgaria","2007","72.5999984741211","","%"
"100","Bulgaria","2006","72","","%"
"100","Bulgaria","2005","71.8000030517578","","%"
"100","Bulgaria","2004","71.8000030517578","","%"
"100","Bulgaria","2003","71.5","","%"
"100","Bulgaria","2002","70.5","","%"
"100","Bulgaria","2001","70.5","","%"
"100","Bulgaria","2000","70.1999969482422","","%"
"100","Bulgaria","1995","69.5999984741211","","%"
"108","Burundi","2015","4.5","5,6","%"
"108","Burundi","2014","4.5","5,6","%"
"108","Burundi","2013","4.5","5,6","%"
"108","Burundi","2012","4","5,6","%"
"108","Burundi","2011","4","5,6","%"
"132","Cabo Verde","2015","20.8999996185303","7","%"
"132","Cabo Verde","2014","19.7999992370605","7","%"
"132","Cabo Verde","2013","20.7000007629395","7","%"
"132","Cabo Verde","2012","19.5","7","%"
"132","Cabo Verde","2010","17.2999992370605","7","%"
"124","Canada","2009","84.3099975585938","8","%"
"124","Canada","2006","86.4000015258789","","%"
"124","Canada","2004","87.2200012207031","","%"
"124","Canada","1999","71.6999969482422","9","%"
"124","Canada","1996","69.8000030517578","9","%"
"124","Canada","1994","67.5","9","%"
"124","Canada","1991","62.4000015258789","9","%"
"152","Chile","2015","99.8499984741211","","%"
"152","Chile","2014","99.9300003051758","","%"
"152","Chile","2013","99.9300003051758","","%"
"152","Chile","2012","100","","%"
"152","Chile","2011","90.5878982543945","9","%"
"152","Chile","2010","86.9302978515625","9","%"
"152","Chile","2009","83.3000030517578","9","%"
"152","Chile","2008","82.5999984741211","9","%"
"152","Chile","2007","82.3000030517578","9","%"
"152","Chile","2006","82","9","%"
"152","Chile","2005","73.3000030517578","9","%"
"152","Chile","2004","71.5999984741211","9","%"
"152","Chile","2003","65.6999969482422","","%"
"152","Chile","2002","42.2000007629395","","%"
"152","Chile","2001","39.4000015258789","","%"
"152","Chile","2000","20.8999996185303","","%"
"156","China","2004","32.5499992370605","","%"
"156","China","2003","27.4799995422363","","%"
"156","China","2002","24.2800006866455","","%"
"156","China","2001","20.8099994659424","","%"
"344","China, Hong Kong Special Administrative Region","2015","93.5","","%"
"344","China, Hong Kong Special Administrative Region","2014","93.0999984741211","","%"
"344","China, Hong Kong Special Administrative Region","2013","93.4000015258789","","%"
"344","China, Hong Kong Special Administrative Region","2012","93.3000030517578","","%"
"344","China, Hong Kong Special Administrative Region","2011","93.6999969482422","","%"
"344","China, Hong Kong Special Administrative Region","2010","93.5999984741211","","%"
"344","China, Hong Kong Special Administrative Region","2009","93.2300033569336","","%"
"344","China, Hong Kong Special Administrative Region","2008","93.2600021362305","","%"
"344","China, Hong Kong Special Administrative Region","2007","93.2200012207031","","%"
"344","China, Hong Kong Special Administrative Region","2006","93.1699981689453","","%"
"344","China, Hong Kong Special Administrative Region","2005","92.9300003051758","","%"
"344","China, Hong Kong Special Administrative Region","2004","92.3300018310547","","%"
"344","China, Hong Kong Special Administrative Region","2003","94.6100006103516","","%"
"344","China, Hong Kong Special Administrative Region","2002","94.1999969482422","","%"
"344","China, Hong Kong Special Administrative Region","2001","94.8300018310547","","%"
"344","China, Hong Kong Special Administrative Region","2000","92.7200012207031","","%"
"344","China, Hong Kong Special Administrative Region","1999","91.2600021362305","","%"
"170","Colombia","2014","91.3000030517578","","%"
"170","Colombia","2013","91.1999969482422","","%"
"170","Colombia","2012","91.1999969482422","","%"
"170","Colombia","2010","89.8000030517578","","%"
"170","Colombia","2009","89.6999969482422","","%"
"170","Colombia","2008","91.5","","%"
"170","Colombia","2007","90.8000030517578","","%"
"170","Colombia","2005","72.7099990844727","","%"
"170","Colombia","2004","71.3399963378906","","%"
"170","Colombia","2003","69.9700012207031","","%"
"188","Costa Rica","2015","11.6899995803833","10","%"
"188","Costa Rica","2014","8.26000022888184","10","%"
"188","Costa Rica","2013","8.26000022888184","10","%"
"188","Costa Rica","2012","8.26000022888184","10","%"
"188","Costa Rica","2011","8.26000022888184","10","%"
"188","Costa Rica","2010","8.26000022888184","10","%"
"188","Costa Rica","2009","8.26000022888184","10","%"
"188","Costa Rica","2008","8.26000022888184","10","%"
"191","Croatia","2015","98.3000030517578","","%"
"191","Croatia","2014","98.3000030517578","","%"
"191","Croatia","2013","98.3000030517578","","%"
"191","Croatia","2012","98.3000030517578","","%"
"191","Croatia","2011","98.3000030517578","","%"
"191","Croatia","2007","22","","%"
"191","Croatia","2006","8.89999961853027","","%"
"191","Croatia","2005","8.60000038146973","","%"
"192","Cuba","2015","24","","%"
"192","Cuba","2014","24","","%"
"192","Cuba","2013","24","","%"
"192","Cuba","2012","24","","%"
"192","Cuba","2011","24","","%"
"192","Cuba","2010","24","","%"
"192","Cuba","2009","24","","%"
"192","Cuba","2008","24","","%"
"192","Cuba","2007","24","","%"
"192","Cuba","2006","24","","%"
"192","Cuba","2005","24","","%"
"192","Cuba","2004","24","","%"
"196","Cyprus","2005","100","","%"
"196","Cyprus","2004","100","","%"
"196","Cyprus","2003","100","","%"
"196","Cyprus","2002","100","","%"
"196","Cyprus","2001","100","","%"
"196","Cyprus","2000","100","","%"
"196","Cyprus","1999","100","","%"
"196","Cyprus","1998","100","","%"
"196","Cyprus","1997","100","","%"
"196","Cyprus","1996","100","","%"
"196","Cyprus","1995","100","","%"
"196","Cyprus","1994","100","","%"
"196","Cyprus","1993","100","","%"
"196","Cyprus","1992","100","","%"
"203","Czechia","2015","81","","%"
"203","Czechia","2014","80.8000030517578","","%"
"203","Czechia","2013","80","9","%"
"203","Czechia","2012","78.0999984741211","9","%"
"203","Czechia","2011","80.5999984741211","","%"
"203","Czechia","2010","79.4000015258789","","%"
"203","Czechia","2009","78.3000030517578","","%"
"203","Czechia","2008","78","","%"
"203","Czechia","2007","75.5","","%"
"203","Czechia","2006","74.4000015258789","","%"
"203","Czechia","2005","75.4000015258789","","%"
"203","Czechia","2004","73.5","9","%"
"203","Czechia","2003","73.0999984741211","9","%"
"203","Czechia","2002","72.1999969482422","9","%"
"203","Czechia","2001","67.5","9","%"
"203","Czechia","2000","66.4000015258789","9","%"
"208","Denmark","2014","100","9","%"
"208","Denmark","2013","100","","%"
"208","Denmark","2012","100","","%"
"208","Denmark","2011","100.099998474121","","%"
"208","Denmark","2010","100.099998474121","","%"
"208","Denmark","2009","100","","%"
"208","Denmark","2000","100","","%"
"212","Dominica","2005","13","","%"
"214","Dominican Republic","2005","12","11","%"
"222","El Salvador","2012","2.82999992370605","","%"
"222","El Salvador","2011","2.83999991416931","","%"
"222","El Salvador","2010","2.82999992370605","","%"
"222","El Salvador","2009","2.84999990463257","","%"
"222","El Salvador","2008","2.86999988555908","","%"
"222","El Salvador","2007","3.07999992370605","","%"
"233","Estonia","2014","87","9","%"
"233","Estonia","2013","87.1999969482422","9","%"
"233","Estonia","2012","86.8000030517578","","%"
"233","Estonia","2011","86.6999969482422","","%"
"233","Estonia","2010","86.5","","%"
"233","Estonia","2009","85","","%"
"233","Estonia","2008","85","","%"
"233","Estonia","2007","84","","%"
"233","Estonia","2006","79","","%"
"233","Estonia","2005","79","","%"
"233","Estonia","2004","74","","%"
"233","Estonia","2003","73","","%"
"233","Estonia","2002","70","9","%"
"233","Estonia","2001","70","9","%"
"233","Estonia","2000","70","9","%"
"246","Finland","2013","100","","%"
"246","Finland","2012","100","","%"
"246","Finland","2011","100","","%"
"246","Finland","2010","100","","%"
"246","Finland","2002","100","9","%"
"246","Finland","2001","100","9","%"
"246","Finland","2000","100","9","%"
"250","France","2014","100.099998474121","","%"
"250","France","2013","100.099998474121","","%"
"250","France","2012","100","","%"
"250","France","2011","100","","%"
"250","France","2010","100","","%"
"250","France","2004","95.8000030517578","9","%"
"250","France","2001","95.5999984741211","9","%"
"254","French Guiana","2012","68","","%"
"254","French Guiana","2004","44","","%"
"254","French Guiana","2001","27.7999992370605","","%"
"254","French Guiana","1998","0","","%"
"258","French Polynesia","2013","8","","%"
"258","French Polynesia","2005","5","","%"
"276","Germany","2013","99.9940032958984","","%"
"276","Germany","2012","99.9869995117188","9","%"
"276","Germany","2011","99.9800033569336","9","%"
"276","Germany","2010","99.9710006713867","","%"
"276","Germany","2007","99.9000015258789","","%"
"276","Germany","2005","97.3000030517578","","%"
"276","Germany","2004","97.9000015258789","","%"
"276","Germany","2001","97.4000015258789","","%"
"276","Germany","1995","88.5999984741211","","%"
"276","Germany","1991","87.0999984741211","","%"
"300","Greece","2014","92.8300018310547","","%"
"300","Greece","2013","92.8300018310547","","%"
"300","Greece","2011","88.0999984741211","","%"
"300","Greece","2010","87.3000030517578","","%"
"300","Greece","2009","87.3000030517578","","%"
"300","Greece","2007","85","","%"
"312","Guadeloupe","2012","73","","%"
"312","Guadeloupe","2004","38.9000015258789","","%"
"312","Guadeloupe","2001","40.0999984741211","","%"
"324","Guinea","2009","11","12","%"
"324","Guinea","2008","11","12","%"
"324","Guinea","2007","10","12","%"
"324","Guinea","2006","10","12","%"
"324","Guinea","2005","10","12","%"
"328","Guyana","2009","0","","%"
"328","Guyana","2008","0","","%"
"328","Guyana","2007","0","","%"
"328","Guyana","2006","0","","%"
"328","Guyana","2005","0","","%"
"328","Guyana","2004","0","","%"
"328","Guyana","2003","0","","%"
"328","Guyana","2002","0","","%"
"328","Guyana","2001","0","","%"
"328","Guyana","2000","0","","%"
"328","Guyana","1995","0","","%"
"328","Guyana","1990","0","","%"
"348","Hungary","2015","76.8130035400391","","%"
"348","Hungary","2014","73.8079986572266","","%"
"348","Hungary","2013","72.7580032348633","","%"
"348","Hungary","2012","72.9400024414063","","%"
"348","Hungary","2011","72.2590026855469","","%"
"348","Hungary","2010","71.7249984741211","","%"
"348","Hungary","2009","68.8000030517578","","%"
"348","Hungary","2008","67.6999969482422","","%"
"348","Hungary","2007","66.5","","%"
"348","Hungary","2006","63.4000015258789","","%"
"348","Hungary","2005","60.5999984741211","","%"
"348","Hungary","2004","72.0999984741211","9","%"
"348","Hungary","2003","70.0999984741211","9","%"
"348","Hungary","2002","66.1999969482422","9","%"
"348","Hungary","2001","66.0999984741211","9","%"
"348","Hungary","2000","63.7000007629395","9","%"
"348","Hungary","1999","45.9000015258789","9","%"
"348","Hungary","1998","43","9","%"
"348","Hungary","1997","41.5","9","%"
"348","Hungary","1996","40.2000007629395","9","%"
"348","Hungary","1995","39.0999984741211","9","%"
"348","Hungary","1994","39.9000015258789","9","%"
"348","Hungary","1993","39.2999992370605","9","%"
"348","Hungary","1992","35.2999992370605","9","%"
"348","Hungary","1990","39.4000015258789","9","%"
"352","Iceland","2010","73","","%"
"352","Iceland","2008","100","","%"
"352","Iceland","2005","96","","%"
"352","Iceland","2004","56","","%"
"352","Iceland","2003","56","","%"
"352","Iceland","2002","56","","%"
"352","Iceland","2001","39","","%"
"352","Iceland","2000","39","","%"
"352","Iceland","1999","22","","%"
"352","Iceland","1998","14","","%"
"352","Iceland","1997","10","","%"
"352","Iceland","1996","10","","%"
"352","Iceland","1995","10","","%"
"352","Iceland","1994","10","","%"
"352","Iceland","1993","6","","%"
"352","Iceland","1992","6","","%"
"352","Iceland","1991","6","","%"
"352","Iceland","1990","6","","%"
"368","Iraq","2015","27.1000003814697","","%"
"368","Iraq","2014","20.3999996185303","13","%"
"368","Iraq","2010","7","","%"
"372","Ireland","2014","97","9","%"
"372","Ireland","2013","97","9","%"
"372","Ireland","2011","96","9","%"
"376","Israel","2015","96.8000030517578","","%"
"376","Israel","2014","96.6999969482422","","%"
"376","Israel","2013","96.5999984741211","","%"
"376","Israel","2012","96.3000030517578","","%"
"376","Israel","2011","96","","%"
"376","Israel","2010","95.5","","%"
"376","Israel","2009","95","","%"
"376","Israel","2008","94.5","","%"
"376","Israel","2007","94.0999984741211","","%"
"376","Israel","2006","93.5","","%"
"376","Israel","2005","92.9000015258789","","%"
"376","Israel","2004","92.0999984741211","","%"
"376","Israel","2003","90.6999969482422","","%"
"376","Israel","2002","89.3000030517578","","%"
"376","Israel","2001","88","","%"
"376","Israel","2000","86.5999984741211","","%"
"376","Israel","1995","79.5","","%"
"376","Israel","1990","76.6999969482422","","%"
"392","Japan","2015","77.8000030517578","","%"
"392","Japan","2014","77.5999984741211","","%"
"392","Japan","2013","77","","%"
"392","Japan","2012","76.3000030517578","","%"
"392","Japan","2011","75.8000030517578","","%"
"392","Japan","2010","75.0999984741211","","%"
"392","Japan","2009","73.6999969482422","","%"
"392","Japan","2008","72.6999969482422","","%"
"392","Japan","2007","71.6999969482422","","%"
"392","Japan","2006","71","","%"
"392","Japan","2005","69.2564010620117","","%"
"392","Japan","2004","68.0697021484375","","%"
"392","Japan","2003","67","","%"
"392","Japan","2002","65","","%"
"392","Japan","2001","64","","%"
"392","Japan","2000","62","","%"
"392","Japan","1995","54","","%"
"392","Japan","1990","44","","%"
"400","Jordan","2015","62.0999984741211","","%"
"400","Jordan","2014","59.7000007629395","","%"
"400","Jordan","2013","59.7000007629395","","%"
"400","Jordan","2012","59.7000007629395","","%"
"400","Jordan","2011","67","","%"
"400","Jordan","2010","65","","%"
"400","Jordan","2009","63","","%"
"400","Jordan","2008","63","","%"
"400","Jordan","2007","62","","%"
"400","Jordan","2006","60","","%"
"400","Jordan","2005","59","","%"
"398","Kazakhstan","2015","57.0999984741211","","%"
"398","Kazakhstan","2014","62.7000007629395","","%"
"398","Kazakhstan","2013","59.5","","%"
"398","Kazakhstan","2012","59.5999984741211","","%"
"398","Kazakhstan","2011","60.2999992370605","","%"
"398","Kazakhstan","2010","51.5999984741211","","%"
"398","Kazakhstan","2009","51.5999984741211","","%"
"398","Kazakhstan","2008","52.2000007629395","","%"
"398","Kazakhstan","2007","45.5999984741211","","%"
"398","Kazakhstan","2006","54","","%"
"404","Kenya","2012","4.90000009536743","","%"
"404","Kenya","2011","4.90000009536743","","%"
"404","Kenya","2010","4.90000009536743","","%"
"404","Kenya","2009","4.90000009536743","","%"
