"","iso","iso3","subarea","hdi","population","fraction_urban_pop","fraction_pop_under5","sheddingRate_rota","shedding_duration_rota","sheddingRate_crypto","shedding_duration_crypto","incidence_urban_under5_rota","incidence_urban_5plus_rota","incidence_rural_under5_rota","incidence_rural_5plus_rota","incidence_urban_under5_crypto","incidence_urban_5plus_crypto","incidence_rural_under5_crypto","incidence_rural_5plus_crypto","flushSewer_urb","flushSeptic_urb","flushPit_urb","flushOpen_urb","flushUnknown_urb","pitSlab_urb","pitNoSlab_urb","compostingTwinSlab_urb","compostingTwinNoSlab_urb","compostingToilet_urb","bucketLatrine_urb","containerBased_urb","hangingToilet_urb","openDefecation_urb","other_urb","coverBury_urb","sewageTreated_urb","fecalSludgeTreated_urb","isWatertight_urb","hasLeach_urb","onsiteDumpedland_urb","emptyFrequency_urb","pitAdditive_urb","urine_urb","flushSewer_rur","flushSeptic_rur","flushPit_rur","flushOpen_rur","flushUnknown_rur","pitSlab_rur","pitNoSlab_rur","compostingTwinSlab_rur","compostingTwinNoSlab_rur","compostingToilet_rur","bucketLatrine_rur","containerBased_rur","hangingToilet_rur","openDefecation_rur","other_rur","coverBury_rur","sewageTreated_rur","fecalSludgeTreated_rur","isWatertight_rur","hasLeach_rur","onsiteDumpedland_rur","emptyFrequency_rur","pitAdditive_rur","urine_rur","FractionPrimarytreatment","FractionSecondarytreatment","FractionTertiarytreatment","FractionQuaternarytreatment","FractionPonds","fEmitted_inEffluent_after_treatment_viruses","fEmitted_inEffluent_after_treatment_protozoa"
"105",5105,"IND","India",0.647,1354051854,0.340296985,0.0846950258060231,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.225,0.505,0.078,0.027,0.002,0.042,0.005,NA,NA,0.001,0,NA,0,0.106,0.008,NA,0.0883698,NA,NA,NA,0.1,3,"None","Fresh Urine",0.016,0.254,0.091,0.005,0.001,0.063,0.019,NA,NA,0.002,0,NA,0,0.543,0.007,0.3872204,0.0032375,0,0,0,0.1,3,"None","Fresh Urine",1,0,0,NA,NA,0.2425,0.425
"106",5106,"IOT","British Indian Ocean Territory",NA,NA,NA,NA,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",5107,"IRL","Ireland",0.942,4803748,0.631700081,0.0635208501930821,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0208423,0.8428678,0.0208423,0.0208423,0.0208423,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5096749,0.2118234,0,0,0,0.1,3,"None","Fresh Urine",0.0298507462686567,0.791044776119403,0.17910447761194,NA,NA,0.0277313432835821,0.032089552238806
"108",5108,"IRN","Iran",0.797,82011735,0.74897885,0.0909309498857601,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.39,0.005,0,0,0,0.594,0,NA,NA,0,0,NA,0,0,0.011,NA,0.2969213,NA,NA,NA,0.1,3,"None","Fresh Urine",0.053,0.005,0,0,0,0.901,0,NA,NA,0,0,NA,0,0,0.041,NA,0.0107172,NA,NA,NA,0.1,3,"None","Fresh Urine",0,1,0,NA,NA,0.025,0.02
"109",5109,"IRQ","Iraq",0.689,39339753,0.704727531,0.133766488873156,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.389,0.562,0,0,0.002,0.021,0.002,NA,NA,0,0,NA,0,0,0.025,0.1952533,0.1988707,0,0,0,0.1,3,"None","Fresh Urine",0.028,0.702,0,0,0.008,0.154,0.03,NA,NA,0,0,NA,0,0.003,0.074,0.4151164,0.0347024,0,0,0,0.1,3,"None","Fresh Urine",1,0,0,NA,NA,0.2425,0.425
"110",5110,"ISL","Iceland",0.938,337780,0.938128368,0.0598945054945055,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.968253968253968,0.0158730158730159,0.0158730158730159,NA,NA,0.235261904761905,0.412142857142857
"111",5111,"ISR","Israel",0.906,8452841,0.924176735,0.0979520517550549,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125,0.9358705,0.0011757,0.0011757,0.0011757,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125,0.8935447,0.0117572,0.0117572,0.0117572,0.1,3,"None","Fresh Urine",0.0625,0.416666666666667,0.520833333333333,NA,NA,0.02765625,0.0453125
"112",5112,"ITA","Italy",0.883,59290969,0.704375383,0.0384489532800762,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247105,0.913828,0.0240516,0.0240516,0.0240516,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0291707,0.9033185,0.0283928,0.0283928,0.0283928,0.1,3,"None","Fresh Urine",0.0434782608695652,0.347826086956522,0.608695652173913,NA,NA,0.0216739130434783,0.0376086956521739
"113",5113,"JAM","Jamaica",0.726,2898677,0.556741921,0.0779501688695751,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.344,0.318,0.246,0.001,0.003,0.081,0.002,NA,NA,0,0,NA,0,0.002,0.004,NA,0.1222953,NA,NA,NA,0.1,3,"None","Fresh Urine",0.073,0.217,0.333,0.003,0.001,0.362,0.004,NA,NA,0,0,NA,0,0.004,0.003,NA,0.0254565,NA,NA,NA,0.1,3,"None","Fresh Urine",0.75,0.25,0,NA,NA,0.188125,0.32375
"114",5114,"JEY","Jersey",NA,NA,NA,NA,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
