sanitation_facility,category
Pas de toilette/brousse/champ,openDefecation
None (nature),openDefecation
none,openDefecation
"No facility, bush/field/public toilet",openDefecation
Bush,openDefecation
"No facility, bush",openDefecation
Other,other
Missing,other
"Other, specify",other
poco roto somente,other
outros,other
Cemented with sink,other
Other place,other
Without cement sink,other
Autres,other
Autre,other
Non déclaré/Pas de réponse,other
Non Déclarée,other
97,other
Otro,other
Omitido,other
Otros,other
Mobile toilet,other
non déclaré,other
Ne sait pas où,other
Outro,other
Mobile chemical toilet,other
Shared/public,other
NO RESPONSE,other
Public/shared to,other
98,other
Descarga a otra parte,other
Descarga a sitio desconocido / no estáseguro dónde / NS dónde,other
DK,other
99,other
Retrete sem autoclismo Sem info,other
K?Niv,other
Autre (préciser),other
No hay dato,other
Outside dwelling,other
Drop/overhang,other
9,other
No informado,other
Baño de silla/basin para adultos/niños o enfermos,other
No responde,other
No sabe dónde se depositan,other
Edicule publict latrine,other
Sitio desconocido/ no está seguro/ NS dónde,other
Outro (especificar),other
7,other
NSP,other
Others,other
0,other
Pit latrine - without slab / open pit,pitNoSlab
Pit latrine without slab / Open pit,pitNoSlab
Pit latrine without slab/open pit,pitNoSlab
Pit latrine _without slab/open,pitNoSlab
Latrines a fosses/trou ouvert,pitNoSlab
Latrines à fosse sans dalle / trou ouvert,pitNoSlab
open latrine,pitNoSlab
Open pit,pitNoSlab
trou ouvert,pitNoSlab
Latrines à trou sans dalle / trou ouvert,pitNoSlab
Latrines a trou ouvert (tranchée),pitNoSlab
Rudimentary pit toilet latrine,pitNoSlab
latrinetraditionnelles non couvertes,pitNoSlab
Traditional pit toilet (uncovered),pitNoSlab
Latrines à fosses sans dalle/trou ouvert,pitNoSlab
Letrina de fosa sin losa / Foso abierto,pitNoSlab
Letrina expuesta,pitNoSlab
pit toilet without bassinet (shared),pitNoSlab
pit toilet without bassinet (private),pitNoSlab
Private latrine without slab,pitNoSlab
Share latrine without slab,pitNoSlab
pit latrine without slab,pitNoSlab
latrines non couvertes,pitNoSlab
....pit latrine - without slab,pitNoSlab
PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,pitNoSlab
Pit latrine without slab/ open pit,pitNoSlab
Pit latrine without slab/open pit*,pitNoSlab
Letrina de fosa sin losa/Foso abierto,pitNoSlab
Latrina não melhorada (laje),pitNoSlab
Pit latrine without slab/,pitNoSlab
Not improved latrine,pitNoSlab
Latrines ? fosse sans dalle / trou ouvert,pitNoSlab
Toilettes/latrines suspendues sans dalle,pitNoSlab
Letrina o servicio hueco sin piso,pitNoSlab
"Pit latrine, without slab/open pit",pitNoSlab
Letrina común sin techo o puerta,pitNoSlab
"Letrina comúnsin losa , sin techo o puerta",pitNoSlab
Letrina común sin losa pero con techo o puerta,pitNoSlab
Pit latrine without slab / Open pit / Incomplete latrine,pitNoSlab
Latrines traditionnelle ou non couverte,pitNoSlab
Uncovered pin latrine,pitNoSlab
Pit latrine without slab non-wahable,pitNoSlab
"Uncovered pit latrine, no slab",pitNoSlab
"Covered pit latrine, no slab",pitNoSlab
Uncovered pit latrine no slab,pitNoSlab
Covered pit latrine no slab,pitNoSlab
Covered pit latrine - without slab / open pit,pitNoSlab
Uncovered pit latrine - without slab,pitNoSlab
Non-VIP pit latrine without slab,pitNoSlab
Pit latrine - ventilated improved pit (VIP),pitSlab
Pit latrine - with slab,pitSlab
Pit latrine with slab,pitSlab
Ventilated Improved Pit latrine (VIP),pitSlab
Ventilated improved pit latrine,pitSlab
Pit latrine - with slab/covered,pitSlab
Single/double vault - without urine diversion,pitSlab
Ventilated improved (VIP),pitSlab
Slit latrine,pitSlab
Trad. pit toilet,pitSlab
Latrine,pitSlab
Latrines couvertes,pitSlab
Latrines ameliorees auto aerees (LAA),pitSlab
Pit latrine with washable slab,pitSlab
Pit latrine with slab no washable,pitSlab
Unventilated latrine,pitSlab
Ventilated latrine,pitSlab
non-ventilated pit latrine,pitSlab
ventilated pit latrine,pitSlab
Latrines à fosse avec dalle,pitSlab
Latrines améliorées ventilées (LAV),pitSlab
ventilated improved pit (vip) latrine,pitSlab
traditional pit toilet,pitSlab
pit latrine,pitSlab
latrines traditionnelle ameliorees,pitSlab
latrines ameliorees a ventillation,pitSlab
latrines traditionnelles,pitSlab
Latrine à trou avec dalle,pitSlab
Latrines améliorées ventillées,pitSlab
latrines traditionelles,pitSlab
latrines ameliorees a ventilation,pitSlab
latrines e‚vacuation,pitSlab
Improved pit toilet latrine,pitSlab
Latrines à fosses avec dalle,pitSlab
Latrines amélirées ventilées (LAV),pitSlab
latrines tradionnelle couertes,pitSlab
latrine a evacuation,pitSlab
Traditional pit toilet (covered),pitSlab
Improved pit latrine,pitSlab
Latrine améliorée à ventillation,pitSlab
Latrine à évacuation,pitSlab
Latrine traditionnelle,pitSlab
Letrina de fosa con losa,pitSlab
Letrina de fosa mejorada con ventilación,pitSlab
Letrina sanitaria,pitSlab
Letrina tradicional,pitSlab
pit toilet with bassinet (shared),pitSlab
pit toilet with basinet (private),pitSlab
Share latrine with slab,pitSlab
Private latrine with slab,pitSlab
Letrina a pozo negro u hoyo,pitSlab
..Pit toilet\latrine,pitSlab
Vented improved pit latrine,pitSlab
Traditional pit latrine,pitSlab
Improved (ventilated) pit latrine,pitSlab
Ventilated improved pit (VIP) Latrines,pitSlab
KVIP,pitSlab
Covered latrine,pitSlab
latrines ventilées améliorées,pitSlab
Latrina melhorada,pitSlab
Latrina tradicional ou cerco,pitSlab
RETRETE TRADICIONAL,pitSlab
RETRETE MELHORADA,pitSlab
