gid,iso,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa,notes1,notes2,notes3
GRC,GRC,Greece,0.872,11142161,0.790580122,0.039283968,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.881,0.119,0,0,0,0,0,0,0,NA,0,0,0,0.012858,0.9406658,0.012858,0,0,3,0,0,0,0.1,0.385,0.615,0,0,0,0,0,0,0,NA,0,0,0,0,0.3688769,0.9,0,0,3,0,0,0,0.1,0,0.079545455,0.920454545,NA,0.986818182,0.918409091,0.005670455,0.02,,,
GRD,GRD,Grenada,0.763,108339,0.362722565,0.08009314,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.082,0.531,0,0,0,0.363,0,0,0,NA,0,0.012,0.012,0,0.258207566,0.2,0,0,3,0,0,0,0.1,0.082,0.531,0,0,0,0.363,0,0,0,NA,0,0.012,0.012,0.9,0.258207566,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
GRL,GRL,Greenland,NA,56565,0.868151684,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.991,0,0,0,0,0,0,0,0,NA,0,0,0.009,0,0.22,0.2,0,0,3,0,0,0,0.1,0.999,0,0,0,0,0,0,0,0,NA,0,0,0.001,0,0.22,0,0,0,3,0,0,0,0.1,0.022727273,0.034090909,0.943181818,NA,0.983181818,0.909772727,0.010136364,0.029204545,,,
GTM,GTM,Guatemala,0.651,17245346,0.51053635,0.115284211,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.734,0.098,0,0.022,0,0.132,0.001,0,0,NA,0,0.013,0,0,0.100042203,0.2,0,0,3,0,0,0,0.1,0.125,0.2,0,0.025,0,0.546,0.006,0,0,NA,0,0.099,0,0.9,0.116557106,0,0,0,3,0,0,0,0.1,0.794871795,0.205128205,0,NA,0.791025641,0.582051282,0.197884615,0.341923077,,,
GUF,GUF,French Guiana,NA,289763,0.853093735,0.119260618,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.444,0.383,0.038,0,0,0.135,0,0,0,NA,0,0,0,0,0.22,0.2,0,0,3,0,0,0,0.1,0.444,0.383,0.038,0,0,0.135,0,0,0,NA,0,0,0,0,0.22,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
GUM,GUM,Guam,NA,165718,0.94779686,0.080250973,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.714,0.26,0,0,0,0,0,0,0,NA,0,0,0.026,0,0.22,0.2,0,0,3,0,0,0,0.1,0.714,0.26,0,0,0,0,0,0,0,NA,0,0,0.026,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
GUY,GUY,Guyana,0.67,782225,0.26606539,0.093907768,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.074,0.768,0.013,0.001,0,0.14,0,0,0,NA,0,0.001,0.003,0,0.116203539,0.2,0,0,3,0,0,0,0.1,0.002,0.62,0.019,0,0,0.346,0,0,0,NA,0.002,0.007,0.004,0.9,0.114654158,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
HKG,HKG,Hong Kong,0.939,7428887,1,0.048361155,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.935,0,0,0,0,0,0,0,0,NA,0,0,0.065,0.0178189,0.8829745,0.0169411,0,0,3,0,0,0,0.1,0.935,0,0,0,0,0,0,0,0,NA,0,0,0.065,0,1,0.9,0,0,3,0,0,0,0.1,0.872340426,0.127659574,0,NA,0.775531915,0.55106383,0.214734043,0.373297872,,,"Rural sanitation technologies data was not available, so national data was used."
HMD,HMD,Heard Island and McDonald Islands,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data,,
HND,HND,Honduras,0.623,9417167,0.570957486,0.102681196,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.644,0.208,0,0.017,0.001,0.107,0,0.006,0,NA,0,0.017,0,0.0858043,0.232576442,0.0327772,0,0,3,0,0,0,0.1,0.03,0.264,0,0.017,0.008,0.538,0,0,0,NA,0,0.142,0.001,0.9,0.033342113,0,0,0,3,0,0,0,0.1,0.775,0.225,0,NA,0.795,0.59,0.1935625,0.333875,,,
